frame,phase,x,z,stepDistance
332,Eating,4.950000,-5.000000,0.000000
333,Eating,4.950000,-5.000000,0.000000
334,Eating,4.950000,-5.000000,0.000000
335,Eating,4.950000,-5.000000,0.000000
336,Eating,4.950000,-5.000000,0.000000
337,Eating,4.950000,-5.000000,0.000000
338,Eating,4.950000,-5.000000,0.000000
339,Eating,4.950000,-5.000000,0.000000
340,Eating,4.950000,-5.000000,0.000000
341,Eating,4.950000,-5.000000,0.000000
342,Eating,4.950000,-5.000000,0.000000
343,Eating,4.950000,-5.000000,0.000000
344,Eating,4.950000,-5.000000,0.000000
345,Eating,4.950000,-5.000000,0.000000
346,Eating,4.950000,-5.000000,0.000000
347,Eating,4.950000,-5.000000,0.000000
348,Eating,4.950000,-5.000000,0.000000
349,Eating,4.950000,-5.000000,0.000000
350,Eating,4.950000,-5.000000,0.000000
351,Eating,4.950000,-5.000000,0.000000
352,Eating,4.950000,-5.000000,0.000000
353,Eating,4.950000,-5.000000,0.000000
354,Eating,4.950000,-5.000000,0.000000
355,Eating,4.950000,-5.000000,0.000000
356,Eating,4.950000,-5.000000,0.000000
357,Eating,4.950000,-5.000000,0.000000
358,Eating,4.950000,-5.000000,0.000000
359,Eating,4.950000,-5.000000,0.000000
360,Eating,4.950000,-5.000000,0.000000
361,Eating,4.950000,-5.000000,0.000000
362,Eating,4.950000,-5.000000,0.000000
363,Eating,4.950000,-5.000000,0.000000
364,Eating,4.950000,-5.000000,0.000000
365,Eating,4.950000,-5.000000,0.000000
366,Eating,4.950000,-5.000000,0.000000
367,Eating,4.950000,-5.000000,0.000000
368,Eating,4.950000,-5.000000,0.000000
369,Eating,4.950000,-5.000000,0.000000
370,Eating,4.950000,-5.000000,0.000000
371,Eating,4.950000,-5.000000,0.000000
372,Eating,4.950000,-5.000000,0.000000
373,Eating,4.950000,-5.000000,0.000000
374,Eating,4.950000,-5.000000,0.000000
375,Eating,4.950000,-5.000000,0.000000
376,Eating,4.950000,-5.000000,0.000000
377,Eating,4.950000,-5.000000,0.000000
378,Eating,4.950000,-5.000000,0.000000
379,Eating,4.950000,-5.000000,0.000000
380,Eating,4.950000,-5.000000,0.000000
381,Eating,4.950000,-5.000000,0.000000
382,Eating,4.950000,-5.000000,0.000000
383,Eating,4.950000,-5.000000,0.000000
384,Eating,4.950000,-5.000000,0.000000
385,Eating,4.950000,-5.000000,0.000000
386,Eating,4.950000,-5.000000,0.000000
387,Eating,4.950000,-5.000000,0.000000
388,Eating,4.950000,-5.000000,0.000000
389,Eating,4.950000,-5.000000,0.000000
390,Eating,4.950000,-5.000000,0.000000
391,Eating,4.950000,-5.000000,0.000000
392,Eating,4.950000,-5.000000,0.000000
393,Eating,4.950000,-5.000000,0.000000
394,Eating,4.950000,-5.000000,0.000000
395,Eating,4.950000,-5.000000,0.000000
396,Eating,4.950000,-5.000000,0.000000
397,Eating,4.950000,-5.000000,0.000000
398,Eating,4.950000,-5.000000,0.000000
399,Eating,4.950000,-5.000000,0.000000
400,Eating,4.950000,-5.000000,0.000000
401,Eating,4.950000,-5.000000,0.000000
402,Eating,4.950000,-5.000000,0.000000
403,Eating,4.950000,-5.000000,0.000000
404,Eating,4.950000,-5.000000,0.000000
405,Eating,4.950000,-5.000000,0.000000
406,Eating,4.950000,-5.000000,0.000000
407,Eating,4.950000,-5.000000,0.000000
408,Eating,4.950000,-5.000000,0.000000
409,Eating,4.950000,-5.000000,0.000000
410,Eating,4.950000,-5.000000,0.000000
411,Eating,4.950000,-5.000000,0.000000
412,Eating,4.950000,-5.000000,0.000000
413,Eating,4.950000,-5.000000,0.000000
414,Eating,4.950000,-5.000000,0.000000
415,Eating,4.950000,-5.000000,0.000000
416,Eating,4.950000,-5.000000,0.000000
417,Eating,4.950000,-5.000000,0.000000
418,Eating,4.950000,-5.000000,0.000000
419,Eating,4.950000,-5.000000,0.000000
420,Eating,4.950000,-5.000000,0.000000
421,Eating,4.950000,-5.000000,0.000000
422,Eating,4.950000,-5.000000,0.000000
423,Eating,4.950000,-5.000000,0.000000
424,Eating,4.950000,-5.000000,0.000000
425,Eating,4.950000,-5.000000,0.000000
426,Eating,4.950000,-5.000000,0.000000
427,Eating,4.950000,-5.000000,0.000000
428,Eating,4.950000,-5.000000,0.000000
429,Eating,4.950000,-5.000000,0.000000
430,Eating,4.950000,-5.000000,0.000000
431,Eating,4.950000,-5.000000,0.000000
432,Eating,4.950000,-5.000000,0.000000
433,Eating,4.950000,-5.000000,0.000000
434,Eating,4.950000,-5.000000,0.000000
435,Eating,4.950000,-5.000000,0.000000
436,Eating,4.950000,-5.000000,0.000000
437,Eating,4.950000,-5.000000,0.000000
438,Eating,4.950000,-5.000000,0.000000
439,Eating,4.950000,-5.000000,0.000000
440,Eating,4.950000,-5.000000,0.000000
441,Eating,4.950000,-5.000000,0.000000
442,Eating,4.950000,-5.000000,0.000000
443,Eating,4.950000,-5.000000,0.000000
444,Eating,4.950000,-5.000000,0.000000
445,Eating,4.950000,-5.000000,0.000000
446,Eating,4.950000,-5.000000,0.000000
447,Eating,4.950000,-5.000000,0.000000
448,Eating,4.950000,-5.000000,0.000000
449,Eating,4.950000,-5.000000,0.000000
450,Eating,4.950000,-5.000000,0.000000
451,Eating,4.950000,-5.000000,0.000000
452,Eating,4.950000,-5.000000,0.000000
453,Eating,4.950000,-5.000000,0.000000
